date,location,avgtemp_c,totalprecip_mm,avghumidity,uv,bodyweight (gm/bird),feedintake (gm/bird/day),waterintake (ml/bird/day)
2021-01-04,Bago,25.4,0,61,8,198,19,20
2021-01-11,Bago,26.3,0,67,7,535,51,55
2021-01-18,Bago,25.2,0,48,8,964,76,79
2021-01-25,Bago,24.4,0,51,8,"1,293",105,132
2021-02-01,Bago,26.6,0,41,8,"2,321",159,173
2021-02-08,Bago,25.7,0.4,45,7,216,23,20
2021-02-15,Bago,24.9,0,58,8,513,50,49
2021-02-22,Bago,29,0,49,9,801,85,69
2021-03-01,Bago,27.5,0,53,9,"1,395",102,101
2021-03-08,Bago,29,0,29,9,"1,978",146,177
2021-03-15,Bago,29.6,0,47,9,207,23,22
2021-03-22,Bago,31.1,0,46,9,527,54,55
2021-03-29,Bago,31.6,0,42,9,"1,071",85,82
2021-04-05,Bago,27.5,8.2,59,7,"1,374",107,125
2021-04-12,Bago,31.5,0,52,9,"2,051",146,138
2021-04-19,Bago,29.2,1,60,7,181,20,25
2021-04-26,Bago,31.5,2.4,54,8,501,53,45
2021-05-03,Bago,31.1,0,52,8,896,80,69
2021-05-10,Bago,30.3,1.4,58,7,"1,631",114,107
2021-05-17,Bago,33.3,0,55,8,"2,200",176,178
2021-05-24,Bago,27.1,41.43,85,6,223,21,25
2021-05-31,Bago,28.8,4,70,7,476,51,46
2021-06-07,Bago,26.8,35.7,84,6,967,72,76
2021-06-14,Bago,24.5,19.19,92,6,"1,513",131,106
2021-06-21,Bago,26.8,10.2,79,6,"2,325",142,138
2021-06-28,Bago,26.6,12,87,6,207,26,25
2021-07-05,Bago,28.4,2.12,78,7,514,50,50
2021-07-12,Bago,26.1,36.09,88,6,796,92,67
2021-07-19,Bago,25.9,48.13,89,6,"1,262",121,117
2021-07-26,Bago,25.3,25,91,6,"1,981",159,139
2021-08-02,Bago,25.9,25.3,87,6,175,19,20
2021-08-09,Bago,27.9,2.8,82,7,443,46,54
2021-08-16,Bago,24.7,57.18,96,6,911,84,89
2021-08-23,Bago,27.6,5.7,82,7,"1,196",135,93
2021-08-30,Bago,26.3,1.1,86,7,"2,360",147,167
2021-09-06,Bago,25,17.8,89,6,213,20,25
2021-09-13,Bago,25.9,17.82,89,6,480,56,50
2021-09-20,Bago,26.4,6.63,88,7,"1,020",73,85
2021-09-27,Bago,25.4,35.4,88,6,"1,193",114,126
2021-10-04,Bago,26.6,3.97,86,7,"2,052",146,135
2021-10-11,Bago,26.6,30.08,88,6,203,22,18
2021-10-18,Bago,24.1,3.24,94,6,486,43,44
2021-10-25,Bago,26.4,0.1,84,7,914,88,77
2021-11-01,Bago,26.5,14.52,84,7,"1,563",95,94
2021-11-08,Bago,27.2,1.15,81,8,"2,048",157,166
2021-11-15,Bago,26.4,0,80,7,216,26,25
2021-11-22,Bago,26.6,0,75,8,555,42,44
2021-11-29,Bago,25.9,0,77,8,862,81,79
2021-12-06,Bago,24,0,66,7,"1,185",107,104
2021-12-13,Bago,25.9,0,66,7,"2,073",163,138
2021-12-20,Bago,24.8,0,67,8,191,22,20
2021-12-27,Bago,24,0,58,8,457,52,44
2022-01-03,Bago,25.3,0,58,8,825,87,68
2022-01-10,Bago,25.1,0,51,8,"1,214",97,108
2022-01-17,Bago,25.6,0,59,8,"2,115",180,173
2022-01-24,Bago,23.2,0,49,8,222,25,19
2022-01-31,Bago,22,0,54,8,459,52,41
2022-02-07,Bago,24.3,0,34,8,865,99,80
2022-02-14,Bago,25.2,0,26,9,"1,686",111,103
2022-02-21,Bago,25.2,0,53,8,"2,030",172,173
2022-02-28,Bago,27.9,0,39,8,218,22,19
2022-03-07,Bago,29.7,0,47,9,488,46,48
2022-03-14,Bago,31.7,0,33,10,861,73,89
2022-03-21,Bago,26.1,3,83,6,"1,415",125,103
2022-03-28,Bago,30.8,1.2,49,8,"2,113",182,171
2022-04-04,Bago,30.2,0,50,9,197,23,24
2022-04-11,Bago,31.2,0,49,9,486,50,51
2022-04-18,Bago,32.4,0,49,9,813,87,75
2022-04-25,Bago,32.9,0.1,51,8,"1,265",103,122
2022-05-02,Bago,31.2,1.3,62,8,"1,989",154,178
2022-05-09,Bago,27.9,9.2,77,7,191,23,19
2022-05-16,Bago,29.2,21.29,74,7,440,58,40
2022-05-23,Bago,27,32.76,84,6,"1,064",93,78
2022-05-30,Bago,26.3,9.09,87,7,"1,243",120,109
2022-06-06,Bago,26.6,16.33,83,6,"2,345",154,163
2022-06-13,Bago,27.1,29.97,81,7,188,25,21
2022-06-20,Bago,26.7,20.03,81,6,462,56,52
2022-06-27,Bago,26.3,13.4,87,6,896,76,81
2022-07-04,Bago,25.9,19.67,91,6,"1,385",95,108
2022-07-11,Bago,26.4,14.39,86,6,"2,062",171,153
2022-07-18,Bago,27.7,8.1,83,7,175,23,26
2022-07-25,Bago,28.9,1.1,75,7,452,55,39
2022-08-01,Bago,27.9,6,79,7,"1,099",86,75
2022-08-08,Bago,24.5,60.1,96,6,"1,690",103,112
2022-08-15,Bago,25.7,7.03,88,6,"2,002",172,160
2022-08-22,Bago,24.2,83.87,95,5,182,22,21
2022-08-29,Bago,28.1,1.1,81,7,540,42,53
2022-09-05,Bago,27.4,3.8,83,7,893,88,71
2022-09-12,Bago,24.8,8.23,92,6,"1,252",100,118
2022-09-19,Bago,24.1,36.6,96,6,"2,371",163,155
2022-09-26,Bago,24.5,72.5,93,6,185,20,25
2022-10-03,Bago,24.7,3.9,93,6,556,55,47
2022-10-10,Bago,27.1,5.8,81,7,995,94,84
2022-10-17,Bago,26,0.1,79,7,"1,308",133,130
2022-10-24,Bago,25,22.83,92,6,"2,046",158,167
2022-10-31,Bago,27.2,0,80,7,194,24,21
2022-11-07,Bago,26.4,0,75,8,552,57,50
2022-11-14,Bago,26,0,71,8,868,94,92
2022-11-21,Bago,26.3,0.9,71,7,"1,484",138,103
2022-11-28,Bago,25.8,15.2,85,6,"2,088",149,143
2022-12-05,Bago,27.5,0,73,7,223,25,20
2022-12-12,Bago,26.5,0.1,67,7,474,59,45
2022-12-19,Bago,25.6,0,61,8,935,87,85
2022-12-26,Bago,25.7,0,67,8,"1,531",108,115
2023-01-02,Bago,24.1,0,52,8,"2,083",147,161
2023-01-09,Bago,25.7,0,54,8,208,26,24
2023-01-16,Bago,23.2,0,53,8,444,59,43
2023-01-23,Bago,24.8,0,26,8,867,82,89
2023-01-30,Bago,26,0,47,8,"1,196",105,133
2023-02-06,Bago,27,0,38,9,"2,093",169,176
2023-02-13,Bago,26.1,0,59,9,176,24,19
2023-02-20,Bago,27.3,0,38,8,496,50,47
2023-02-27,Bago,30.5,0,35,9,820,73,73
2023-03-06,Bago,30.1,0,40,10,"1,599",138,118
2023-03-13,Bago,30,0.6,50,8,"1,990",142,139
2023-03-20,Bago,31.3,0,44,10,215,22,27
2023-03-27,Bago,31.1,0,52,10,477,53,55
2023-04-03,Bago,29.9,0,55,8,"1,030",85,77
2023-04-10,Bago,31.9,0,42,10,"1,203",124,99
2023-04-17,Bago,31.9,0,54,10,"2,262",175,147
2023-04-24,Bago,32.8,0.8,45,9,205,20,25
2023-05-01,Bago,32.9,0.1,47,8,545,52,57
2023-05-08,Bago,34.5,0,53,10,802,74,89
2023-05-15,Bago,28.4,10.3,68,7,"1,271",127,111
2023-05-22,Bago,31.4,3.4,60,8,"2,304",169,178
2023-05-29,Bago,29.9,6.9,66,7,177,25,26
2023-06-05,Bago,28.1,19.1,65,7,548,48,54
2023-06-12,Bago,26.6,31,77,6,998,92,78
2023-06-19,Bago,25.9,24.8,90,6,"1,654",104,112
2023-06-26,Bago,27,18.9,80,7,"2,317",168,153
2023-07-03,Bago,27.1,13.3,82,6,202,22,23
2023-07-10,Bago,27.6,23.65,80,7,464,47,46
2023-07-17,Bago,26.9,21.6,85,6,823,79,84
2023-07-24,Bago,27.8,14.4,80,7,"1,208",112,131
2023-07-31,Bago,26.4,27.3,91,6,"1,996",165,157
2023-08-07,Bago,25.3,50.35,91,6,219,22,26
2023-08-14,Bago,27,23.8,84,7,541,45,46
