date;location;avgtemp_c;totalprecip_mm;avghumidity;uv;feedintake (gm/bird/day);bodyweight (gm/bird);age(day)
2021-01-01;Taungnyo;24,5;0;52;7;12;56;1
2021-01-02;Taungnyo;24,3;0;57;7;18;77;2
2021-01-03;Taungnyo;25,6;0;57;8;21;100;3
2021-01-04;Taungnyo;26,7;0;60;8;25;130;4
2021-01-05;Taungnyo;27;0;62;8;31;136;5
2021-01-06;Taungnyo;27,7;0;64;7;35;182;6
2021-01-07;Taungnyo;27,6;0;68;8;40;188;7
2021-01-08;Taungnyo;27,4;0;65;8;44;259;8
2021-01-09;Taungnyo;26,6;0;63;8;44;266;9
2021-01-10;Taungnyo;25,7;0;62;8;47;352;10
2021-01-11;Taungnyo;25,8;0;59;8;51;362;11
2021-01-12;Taungnyo;23,8;0;55;7;52;397;12
2021-01-13;Taungnyo;23,2;0;54;7;66;482;13
2021-01-14;Taungnyo;24,2;0;57;7;71;489;14
2021-01-15;Taungnyo;24,9;0;65;8;73;542;15
2021-01-16;Taungnyo;25,3;0;72;8;76;648;16
2021-01-17;Taungnyo;26,1;0;70;8;84;683;17
2021-01-18;Taungnyo;25,6;0;56;8;86;756;18
2021-01-19;Taungnyo;24;0;53;7;89;817;19
2021-01-20;Taungnyo;24,3;0;58;7;98;926;20
2021-01-21;Taungnyo;24,5;0;65;7;107;978;21
2021-01-22;Taungnyo;24,5;0;71;7;113;1000;22
2021-01-23;Taungnyo;25,3;0;75;8;129;1212;23
2021-01-24;Taungnyo;25,4;0;77;8;132;1348;24
2021-01-25;Taungnyo;25,9;0;76;8;142;1430;25
2021-01-26;Taungnyo;26,7;0;73;8;142;1520;26
2021-01-27;Taungnyo;26,9;28,8;72;7;143;1605;27
2021-01-28;Taungnyo;27,4;3,4;72;7;155;1620;28
2021-01-29;Taungnyo;27,4;2,2;70;7;156;1702;29
2021-01-30;Taungnyo;26,9;0,1;71;7;173;1780;30
2021-01-31;Taungnyo;26,9;0;72;8;178;1914;31
2021-02-01;Taungnyo;26,8;0;69;8;187;2104;32
2021-02-02;Taungnyo;26,9;0,2;71;7;192;2145;33
2021-02-03;Taungnyo;27,4;0;72;8;193;2181;34
2021-02-04;Taungnyo;27,4;0;73;8;200;2362;35
2021-02-05;Taungnyo;27,3;0;70;8;206;2467;36
2021-02-06;Taungnyo;26,9;0;69;8;208;2544;37
2021-02-07;Taungnyo;27,2;0;68;8;218;2603;38
2021-02-08;Taungnyo;26,7;1,5;72;7;221;2717;39
2021-02-09;Taungnyo;26,4;2,1;74;7;224;2725;40
2021-02-10;Taungnyo;27,2;0;71;8;228;2837;41
2021-02-11;Taungnyo;27;0;67;8;231;2954;42
2021-02-12;Taungnyo;27,3;0,4;70;8;12;55;1
2021-02-13;Taungnyo;26,8;0;70;8;19;80;2
2021-02-14;Taungnyo;26,5;0;71;8;21;104;3
2021-02-15;Taungnyo;26,2;0;69;8;25;132;4
2021-02-16;Taungnyo;26,7;0,5;70;7;25;145;5
2021-02-17;Taungnyo;26,3;12,1;76;7;31;168;6
2021-02-18;Taungnyo;26,3;0;75;8;38;194;7
2021-02-19;Taungnyo;26,4;0;59;8;40;245;8
2021-02-20;Taungnyo;26,5;0;56;8;46;267;9
2021-02-21;Taungnyo;26,5;0;64;8;47;334;10
